[0.00 - 7.00] P:1646.56 E:0.067491 |  And the United States as England kick off and get this match underway.
[6671.00 - 6677.00] P:1524.66 E:0.093250 |  That is the four minutes up now, but there'll still be time I would think for the USA to take this.
[6677.00 - 6684.00] P:1617.57 E:0.089418 |  If they, if they are able to get this, that would have a dramatic effect on the group.
[6684.00 - 6689.00] P:1622.40 E:0.097656 |  The United States would go from one point to four points, and to top of the table.
[6689.00 - 6694.00] P:1490.07 E:0.094522 |  This will probably be, as they would say, stateside, the last play of the match.
[6694.00 - 6699.00] P:1549.50 E:0.089149 |  Pulisic to take this, rolls it down into the full back position.
[6699.00 - 6703.00] P:1592.51 E:0.090992 |  They need to get it in the box. Reina plays it off Grealish.
[6703.00 - 6707.00] P:1698.23 E:0.091944 |  It's a throw in, still less time to play, no there's not.
[6707.00 - 6710.00] P:1510.89 E:0.102758 |  That's it. What a waste that was by the United States.
[6710.00 - 6715.00] P:1520.66 E:0.098710 |  They should have played it into the penalty area, but that's it on as even.
[6715.00 - 6722.00] P:1483.18 E:0.087306 |  It's a 0-0 draw, and that means this group is going to go down to the final night,
[6722.00 - 6729.00] P:1386.94 E:0.097254 |  when England will play Wales on Tuesday night to decide who goes through to the last 16.
[6729.00 - 6732.00] P:1102.43 E:0.093883 |  Point of peace, 0-0, Rock Green.
[6732.00 - 6736.00] P:1305.02 E:0.101902 |  Really underwhelming, underwhelming performance, underwhelming on the ball.
[6736.00 - 6741.00] P:1265.14 E:0.092365 |  Didn't get it right, quite off the ball. What they did do, England was staying the game.
[6741.00 - 6746.00] P:1311.62 E:0.088287 |  They kept a clean sheet. I think Gareth Southgate would say that's the one positive.
[6746.00 - 6753.00] P:1218.29 E:0.096646 |  Personally, individual performances, defensively, you'd probably say Harry Maguire was the standout player
[6753.00 - 6759.00] P:1212.63 E:0.086188 |  for defensive interceptions. That sums it up. It wasn't great.
[6759.00 - 6763.00] P:1613.03 E:0.091928 |  Relatively few chances really, across the 90 minutes.
[6763.00 - 6768.00] P:1485.67 E:0.091616 |  The United States had so much of the game in the early stages of the second half,
[6768.00 - 6773.00] P:1366.82 E:0.082345 |  but Jordan Tickford had relatively little to do, if we're talking about goalkeepers making save.
[6773.00 - 6778.00] P:1240.49 E:0.098273 |  They flipped that round and Matt Ryan had the one saving the first half,
[6778.00 - 6781.00] P:1270.91 E:0.075787 |  which was a good save from Mason Mount.
[6781.00 - 6787.00] P:1331.17 E:0.098122 |  Looking at it to say, well, there just wasn't the quality in the game.
[6787.00 - 6794.00] P:1377.03 E:0.095638 |  That may be suited the USA. That may be suited the way that they play, the chaotic nature of it,
[6794.00 - 6797.00] P:1205.70 E:0.094671 |  but even still, they couldn't find the quality.
[6797.00 - 6801.00] P:1412.94 E:0.100438 |  England will pick the pieces out of this. They'll go again against Wales.
[6801.00 - 6807.00] P:1337.71 E:0.099787 |  It probably doesn't suit Wales at all in any shape or form, but it keeps us interested.
[6807.00 - 6809.00] P:1200.44 E:0.104271 |  It keeps it close to that final game.
[6809.00 - 6812.00] P:1324.15 E:0.094972 |  So there we are in the group. It's 4-3-2-1 now.
[6812.00 - 6814.00] P:1498.53 E:0.097726 |  England 4 points.
[6814.00 - 6821.00] P:1342.39 E:0.104203 |  The round 3, USA 2, Wales 1. That's the way it stands after two matches in Group B.
[6821.00 - 6828.00] P:1450.66 E:0.103573 |  And it's back down to earth for England after the sparkling record-breaking opening against Iran.
[6828.00 - 6831.00] P:1458.79 E:0.105079 |  Just like the Euros last year, second group match.
[6831.00 - 6836.00] P:1234.24 E:0.105954 |  0-0 draw. England 0, USA 0.
[6836.00 - 6838.00] P:1421.92 E:0.090408 |  And here is Kelly Cates.
[6838.00 - 6845.00] P:1340.32 E:0.115676 |  Loud boos at the final whistle, and it might be the only boos these England fans get this evening here in Qatar.
